"pk_device","fk_devicetype","name","lat","lon","fk_region"
"47","8","FI-Scandicci","43.764027","11.168152","16"
"48","8","FI-Signa","43.78908","11.097018","16"
"49","9","AR-Casa-Stabbi","43.39348","11.54354","16"
"50","10","PI-Montecerboli","43.248394","10.879565","16"
"51","8","SI-Poggibonsi","43.471718","11.145881","16"
"52","2","SI-Bracci","43.336906","11.324942","16"
"53","9","GR-Maremma","42.71919","11.00003","16"
"54","8","GR-Urss","42.766937","11.118173","16"
"55","8","LI-Cappiello","43.518555","10.32094","16"
"56","2","LI-Carducci","43.553444","10.326316","16"
"57","8","LI-Lapira","43.566902","10.329803","16"
"58","11","LI-Cotone","43.402607","10.440548","16"
"59","8","LI-Piombino-Parco-VIII-Marzo","42.92774","10.531191","16"
"60","8","LU-Viareggio","43.868572","10.242654","16"
"61","8","MS-Colombarotto","44.022152","10.11827","16"
"62","9","PT-Montale","43.93461","11.018376","16"
"63","8","PS-Signorelli","43.93998","10.901591","16"
"64","2","PO-Ferrucci","43.859554","11.119101","16"
"65","8","PO-Roma","43.849083","11.07546","16"
"66","8","AR-Acropoli","43.456238","11.900071","16"
"67","2","AR-Repubblica","43.460945","11.876133","16"
"68","8","LU-Capannori","43.83915","10.57278","16"
"69","9","LU-Carignano","43.861694","10.463971","16"
"70","2","Lu-Micheletto","43.84215","10.510601","16"
"71","2","PI-Borghetto","43.71277","10.409869","16"
"72","8","PI-Passi","43.737896","10.401032","16"
"73","10","PI-Santa-Croce-Coop","43.71574","10.77778","16"
"74","8","FI-Pontassieve","43.775803","11.431271","16"
"75","8","LI-Poggio-San-Rocco","43.403294","10.475367","16"
"76","8","MS-Galvani","44.03745","10.13371","16"
"77","8","PI-Pontedera","43.661327","10.636983","16"
"78","2","Piazza Garibaldi - Busalla","44.56936","8.946503","8"
"79","12","Sarissola - Busalla","44.574986","8.956473","8"
"80","12","Campora - Campomorone","44.50588","8.894368","8"
"81","13","Via Assarotti - Chiavari","44.31491","9.323988","8"
"82","14","Via Gioventu - Cogoleto","44.391212","8.642797","8"
"83","2","Corso Buenos Aires - Genova","44.40336","8.949622","8"
"84","15","Multedo - Pegli - Genova","44.426167","8.830829","8"
"85","8","Parco Acquasola - Genova","44.408604","8.939961","8"
"86","2","Piazza Masnata - Genova","44.41801","8.885852","8"
"87","8","Quarto - Genova","44.388752","8.995828","8"
"88","2","Via Buozzi - Genova","44.414177","8.912849","8"
"89","2","Via Pastorino - Bolzaneto - Genova","44.460236","8.902083","8"
"90","2","Via Puccini - Sestri P. - Genova","44.42248","8.848642","8"
"91","9","Passo Dei Giovi","44.54997","8.95007","8"
"92","9","Propata","44.56499","9.186097","8"
"93","8","Bolano","44.186863","9.894326","8"
"94","14","Chiappa - La Spezia","44.124317","9.794985","8"
"95","2","Chiodo-Amendola - La Spezia","44.10392","9.816938","8"
"96","15","Fossamastra - La Spezia","44.10303","9.858503","8"
"97","8","Maggiolina - La Spezia","44.11705","9.841917","8"
"98","2","Piazza Saint Bon - La Spezia","44.11","9.816077","8"
"99","2","San Cipriano - Liberta - La Spezia","44.110683","9.833895","8"
"100","8","San Venerio - La Spezia","44.127743","9.863664","8"
"101","8","Le Grazie - Portovenere","44.06422","9.839814","8"
"102","13","Santo Stefano Magra","44.146507","9.908867","8"
"103","2","Regione Cavallo - Albenga","44.051483","8.207619","8"
"104","2","Corso Ferrari - Albisola Superiore","44.331017","8.515117","8"
"105","12","Localita Bragno - Cairo Montenotte","44.374016","8.298775","8"
"106","12","Localita Farina - Cairo Montenotte","44.40217","8.27333","8"
"107","12","Localita Mazzucca - Cairo Montenotte","44.40418","8.285462","8"
"108","13","Carcare","44.349083","8.299533","8"
"109","9","Cengio","44.386917","8.207672","8"
"110","9","Campagna Localita Voze - Noli","44.205116","8.41554","8"
"111","12","Mercato Generale - Quiliano","44.292664","8.413546","8"
"112","2","Corso Ricci - Savona","44.312805","8.473119","8"
"113","8","Varaldo - Savona","44.315228","8.483896","8"
"114","2","Via Aurelia - Via Ferraris - Vado L.","44.2737","8.436515","8"
"115","16","Acqui Terme - Marx","44.678776","8.460976","12"
"116","16","Alessandria - DAnnunzio","44.90661","8.611999","12"
"117","16","Alessandria - Volta","44.9203","8.623196","12"
"118","17","Arquata S. - Minzoni","44.69133","8.881722","12"
"119","16","Casale M.to - Castello","45.136124","8.445175","12"
"120","4","Dernice - Costa","44.763344","9.052426","12"
"121","2","Novi Ligure - Gobetti","44.75814","8.794721","12"
"122","18","Serravalle S. - Spineto","44.720085","8.867307","12"
"123","2","Tortona - Carbone","44.8978","8.859642","12"
"124","2","Asti - Baussano","44.894222","8.197557","12"
"125","16","Asti - DAcquisto","44.90893","8.20546","12"
"126","4","Vinchio - San Michele","44.808014","8.310314","12"
"127","2","Biella - Lamarmora","45.564175","8.051217","12"
"128","16","Biella - Sturzo","45.55882","8.056394","12"
"129","16","Cossato - Pace","45.569107","8.187606","12"
"130","18","Trivero - Ronco","45.664234","8.159812","12"
"131","16","Alba - Tanaro","44.70371","8.033027","12"
"132","2","Borgo S. D. - Giovanni XXIII","44.338127","7.493984","12"
"133","2","Bra - Madonna Fiori","44.706146","7.843104","12"
"134","16","Cuneo - Alpini","44.381756","7.538196","12"
"135","2","Mondovi - Aragno","44.401855","7.814634","12"
"136","4","Revello - Staffarda","44.71976","7.426223","12"
"137","4","Saliceto - Moizo","44.412228","8.169511","12"
"138","2","Borgomanero - Molli","45.68944","8.458442","12"
"139","4","Castelletto T. - Fontane","45.713528","8.602317","12"
"140","18","Cerano - Bagno","45.40973","8.786317","12"
"141","18","Domodossola - Curotti","46.127605","8.292114","12"
"142","16","Novara - Bovio","45.449223","8.634858","12"
"143","2","Novara - Roma","45.440342","8.619686","12"
"144","16","Novara - Verdi","45.43831","8.620608","12"
"145","2","Oleggio - Gallarate","45.593494","8.645077","12"
"146","2","Omegna - Crusinallo","45.89885","8.415739","12"
"147","18","Pieve Vergonte - Industria","46.011726","8.269","12"
"148","16","Trecate - Verra","45.437283","8.74333","12"
"149","16","Verbania - Gabardi","45.930344","8.56548","12"
"150","16","Beinasco - Aleramo","45.02472","7.578103","12"
"151","18","Borgaro T. - Caduti","45.15464","7.65804","12"
"152","2","Carmagnola -  I Maggio","44.84754","7.713999","12"
"153","4","Ceresole Reale - Diga","45.43022","7.245402","12"
"154","18","Chieri - Bersezio","45.002758","7.837479","12"
"155","2","Collegno - Francia","45.072582","7.577933","12"
"156","4","Druento - La Mandria","45.17577","7.560196","12"
"157","16","Grugliasco - Radich","45.06724","7.605643","12"
"158","18","Ivrea - Liberazione","45.4512","7.878036","12"
"159","18","Orbassano - Gozzano","45.00687","7.549626","12"
"160","13","Oulx - Roma","45.034794","6.835924","12"
"161","16","Pinerolo -  Alpini","44.884308","7.330205","12"
"162","2","Settimo T. - Vivaldi","45.143196","7.778178","12"
"163","18","Susa - Repubblica","45.139114","7.050055","12"
"164","2","Torino - Consolata","45.075848","7.678219","12"
"165","16","Torino - Lingotto","45.024944","7.649054","12"
"166","2","Torino - Rebaudengo","45.10407","7.695363","12"
"167","16","Torino - Rubino","45.041878","7.625927","12"
"168","18","Vinovo - Volontari","44.951305","7.636153","12"
"169","16","Borgosesia - Tonella","45.71317","8.283528","12"
"170","19","Cigliano-Autostrada","45.294746","8.043388","12"
"171","18","Vercelli - CONI","45.31891","8.402361","12"
"172","8","Aosta - Mont Fleury","45.7305","7.29903","19"
"173","8","Aosta - P.za Plouves","45.7369","7.32372","19"
"174","8","Aosta - Q.re Dora","45.7369","7.34256","19"
"175","13","Courmayeur - Entrèves","45.7369","6.95795","19"
"176","9","Donnas - Montey","45.7369","7.76643","19"
"177","8","TERAMO Porta Madonna","42.65709","13.71149","1"
"178","8","PESCARA C.so V. Emanuele","42.467766","14.208817","1"
"179","8","PESCARA Citta S.Angelo","42.517498","14.060405","1"
"180","8","PESCARA Montesilvano nuova","42.508133","14.140887","1"
"181","8","PESCARA P.zza Grue","42.460476","14.221598","1"
"182","8","PESCARA Spoltore","42.454983","14.138033","1"
"183","8","PESCARA Teatro D.Annunzio","42.457123","14.234624","1"
"184","8","PESCARA V.le D.Annunzio","42.456272","14.216663","1"
"185","8","PESCARA Via Firenze nuova","42.46979","14.20922","1"
"186","8","PESCARA Via Sacco","42.44623","14.215564","1"
"187","8","PESCARA Viale Bovio","42.477165","14.197568","1"
"188","8","LAQUILA Amiternum new","42.36064","13.377894","1"
"189","8","LAQUILA Arischia","42.353153","13.396875","1"
"190","8","LAQUILA San Gregorio","42.32782","13.495497","1"
"191","8","Chieti Ortona","42.348183","14.402109","1"
"192","7","Pisticci - Zona industriale","40.42046","16.548384","2"
"193","7","Viggiano - Costa Molina","40.315544","15.954768","2"
"194","8","Viggiano - C.da S. Caterina","40.334736","15.900802","2"
"195","8","Viggiano - Masseria de Blasiis","40.324215","15.867398","2"
"196","8","Grumento - Via Mancoso","40.288403","15.891481","2"
"197","8","PARCO MONTECUCCO","45.038544","9.669349","5"
"198","9","CORTE BRUGNATELLA","44.73473","9.366928","5"
"199","14","LUGAGNANO","44.82389","9.830369","5"
"200","2","GIORDANI-FARNESE","45.04884","9.693265","5"
"201","9","BESENZONE","44.9895","10.019201","5"
"202","8","CITTADELLA","44.8","10.33","5"
"203","2","MONTEBELLO","44.79","10.340006","5"
"204","9","BADIA","44.658226","10.289367","5"
"205","14","SARAGAT","44.925964","10.371914","5"
"206","9","FEBBIO","44.30071","10.431042","5"
"207","14","CASTELLARANO","44.516243","10.733905","5"
"208","8","S. LAZZARO","44.68904","10.663591","5"
"209","9","S. ROCCO","44.873726","10.664777","5"
"210","2","TIMAVO","44.69955","10.622759","5"
"211","8","PARCO EDILCARANI","44.540382","10.792358","5"
"212","2","GIARDINI","44.636986","10.905724","5"
"213","14","REMESINA","44.800377","10.884255","5"
"214","2","SAN FRANCESCO","44.542152","10.819878","5"
"215","8","PARCO FERRARI","44.65157","10.907312","5"
"216","9","GAVELLO","45.01415","10.549817","5"
"217","2","DE AMICIS","44.355423","11.720672","5"
"218","2","SAN LAZZARO","44.46719","11.416601","5"
"219","8","GIARDINI MARGHERITA","44.483627","11.355035","5"
"220","2","PORTA SAN FELICE","44.500015","11.328501","5"
"221","9","SAN PIETRO CAPOFIUME","44.654232","11.62482","5"
"222","9","CASTELLUCCIO","44.15122","10.927193","5"
"223","14","VIA CHIARINI","44.50009","11.286065","5"
"224","14","CENTO","44.73301","11.299659","5"
"225","8","VILLA FULVIA","44.824265","11.649618","5"
"226","9","OSTELLATO","44.740894","11.941937","5"
"227","9","GHERARDI","44.83975","11.961252","5"
"228","2","ISONZO","44.842487","11.613141","5"
"229","14","DELTA CERVIA","44.283855","12.332249","5"
"230","9","BALLIRANA","44.52743","11.982355","5"
"231","2","ZALAMELLA","44.427784","12.186495","5"
"232","8","CAORLE","44.419262","12.225385","5"
"233","8","PARCO BUCCI","44.295013","11.871098","5"
"234","8","PARCO RESISTENZA","44.215153","12.04816","5"
"235","2","ROMA","44.215973","12.057502","5"
"236","8","FRANCHINI-ANGELONI","44.14138","12.244744","5"
"237","14","SAVIGNANO","44.09687","12.403328","5"
"238","9","SAVIGNANO DI RIGO","43.927406","12.224794","5"
"239","8","MARECCHIA","44.06431","12.55249","5"
"240","14","VERUCCHIO","44.013878","12.420964","5"
"241","2","FLAMINIA","44.0521","12.57568","5"
"242","9","SAN CLEMENTE","43.93183","12.62728","5"
"243","9","SAN LEO","43.90722","12.401233","5"
"244","8","Castions - BAGNARIA ARSA","45.842075","13.301966","6"
"245","8","Ugovizza - MALBORGHETTO VALBRUNA","46.510075","13.474728","6"
"246","8","Osoppo - OSOPPO","46.22101","13.066895","6"
"247","8","S.Giovanni al Natisone - SAN GIOVANNI AL NATISONE","45.973312","13.393403","6"
"248","8","M.te Zoncolan - SUTRIO","46.5071","12.93175","6"
"249","8","Tolmezzo - TOLMEZZO","46.40187","13.0109825","6"
"250","8","Edison Torviscosa - TORVISCOSA","45.82199","13.271396","6"
"251","8","Malisana - TORVISCOSA","45.810783","13.262128","6"
"252","8","S.Osvaldo - UDINE","46.0351","13.225297","6"
"253","8","V.Cairoli - UDINE","46.066116","13.240687","6"
"254","8","Via S.Daniele - UDINE","46.071617","13.229644","6"
"255","8","A2A Doberdo - DOBERDO DEL LAGO","45.84299","13.543081","6"
"256","8","Doberdo - DOBERDO DEL LAGO","45.84386","13.544723","6"
"257","8","A2A Papariano - FIUMICELLO","45.799477","13.486356","6"
"258","8","Gorizia - GORIZIA","45.93701","13.616333","6"
"259","8","A2A Fossalon - GRADO","45.73162","13.486356","6"
"260","8","Punta Sdobba - GRADO","45.727646","13.541635","6"
"261","8","A2A Via Natisone - MONFALCONE","45.80518","13.522052","6"
"262","8","Monfalcone - MONFALCONE","45.81001","13.528861","6"
"263","8","A2A Vermegliano - RONCHI DEI LEGIONARI","45.836433","13.501116","6"
"264","8","Brugnera - BRUGNERA","45.89865","12.536309","6"
"265","8","Porcia - PORCIA","45.95767","12.618708","6"
"266","8","Pordenone Centro - PORDENONE","45.962524","12.656069","6"
"267","8","Sacile - SACILE","45.950893","12.501871","6"
"268","8","MMArpa - SAN VITO AL TAGLIAMENTO","45.9452","12.881552","6"
"269","8","Ancona Cittadella (AN)","43.612854","13.510395","10"
"270","8","Ascoli Piceno Monticelli (AP)","42.85292","13.62034","10"
"271","14","Chiaravalle/2 (AN)","43.60195","13.325412","10"
"272","9","Civitanova Marche - Ippodromo (MC)","43.29823","13.725972","10"
"273","2","Fabriano (AN)","43.34257","12.909442","10"
"274","17","Falconara Alta (AN)","43.636757","13.377256","10"
"275","17","Falconara Scuola (AN)","43.62181","13.39225","10"
"276","2","Fano - Via Monte Grappa (PU)","43.839535","13.017934","10"
"277","9","Genga - Parco Gola della Rossa (AN)","43.42966","12.935378","10"
"278","2","Jesi (AN)","43.527706","13.246465","10"
"279","8","Macerata - Collevario (MC)","43.284576","13.431824","10"
"280","9","Montemonaco (AP)","42.89885","13.330142","10"
"281","8","Pesaro - Via Scarpellini (PU)","43.893986","12.920203","10"
"282","2","San Benedetto (AP)","42.94276","13.883927","10"
"283","14","Urbino - Via Neruda (PU)","43.732197","12.629149","10"
"284","17","Falconara Acquedotto (AN)","43.637455","13.374602","10"
"285","8","Perugia - Parco Cortonese","43.104416","12.363561","18"
"286","8","Perugia - Ponte San Giovanni","43.089657","12.4419","18"
"287","8","Città di Castello - C. Castello","43.457767","12.245551","18"
"288","8","Gubbio - Piazza 40 Martiri","43.352802","12.57655","18"
"289","8","Magione - Magione","43.133762","12.205854","18"
"290","8","Foligno - Porta Romana","42.95256","12.707592","18"
"291","9","Torgiano - Brufa","43.067867","12.467941","18"
"292","8","Spoleto - Piazza Vittoria","42.740524","12.73754","18"
"293","8","Terni - Borgo Rivo","42.582684","12.623368","18"
"294","8","Terni - Carrara","42.559563","12.64983","18"
"295","8","Terni - Le Grazie","42.549988","12.65002","18"
"296","8","Amelia - Amelia","42.55283","12.419646","18"
"297","8","Narni - Narni Scalo","42.535046","12.521954","18"
"298","8","Orvieto - Ciconia 2","42.737858","12.13661","18"
"299","9","Monte S. Angelo - Suolo Ciuffreda","41.666107","15.945254","13"
"300","17","Manfredonia - Ungaretti","41.638977","15.928678","13"
"301","2","P.zza Verdi","41.2011","16.605253","13"
"302","2","Caldarola","41.11354","16.888063","13"
"303","8","Statte","40.5625","17.203325","13"
"304","8","Via Archimede","40.494442","17.233047","13"
"305","8","Via Machiavelli","40.48861","17.225822","13"
"306","8","San Vito","40.42333","17.225271","13"
"307","8","Via Alto Adige","40.460552","17.263601","13"
"308","8","Mesagne","40.565994","17.807999","13"
"309","2","Brindisi -Via Taranto","40.634167","17.947777","13"
"310","8","San Pancrazio Salentino","40.422993","17.845999","13"
"311","20","San Pietro Vernotico","40.485996","18.005995","13"
"312","20","Torchiarolo-Don Minzoni","40.488","18.053991","13"
"313","13","Guagnano","40.418526","17.964478","13"
"314","13","Arnesano","40.34627","18.095074","13"
"315","13","Galatina - S. Barbara","40.227085","18.076614","13"
"316","8","Paolo VI","40.520935","17.253416","13"
"317","8","Talsano","40.41194","17.283878","13"
"318","8","ss.7 Wind","40.52611","17.17361","13"
"319","14","Grottaglie","40.537777","17.42388","13"
"320","8","Martina Franca","40.700825","17.33194","13"
"321","2","Lecce - Garigliano","40.364456","18.174328","13"
"322","8","Lecce - P.za Palio","40.361156","18.194387","13"
"323","8","Maglie - I.T.C. De Castro","40.123634","18.294098","13"
"324","14","Campi S.na - I.T.C.  Costa","40.397507","18.026508","13"
"325","2","CAVOUR","41.12227","16.872553","13"
"326","14","KENNEDY","41.099594","16.858906","13"
"327","14","S. Pietro Vernotico - Valzani","40.48","18","13"
"328","8","Andria","41.233276","16.30394","13"
"329","13","Altamura","40.82885","16.561014","13"
"330","14","Casamassima","40.953156","16.92073","13"
"331","13","Monopoli","40.951168","17.290285","13"
"332","2","Barletta - Stadio Simeone","41.316666","16.286112","13"
"333","13","Francavilla Fontana - Via F. Filzi","40.529163","17.588331","13"
"334","8","Via Frappietri","40.59376","17.11669","13"
"335","2","Foggia","41.455555","15.548611","13"
"336","14","Carbonara","41.076668","16.866943","13"
"337","9","Posta del Principe","41.631058","15.386841","13"
"338","21","Azienda Russo","41.5451","15.450472","13"
"339","13","San Vito dei Normanni","40.657223","17.7125","13"
"340","13","Mesagne-Via Antonucci","40.551945","17.814165","13"
"341","8","CUS","41.134724","16.845278","13"
"342","13","Monopoli ItalGreen","40.96158","17.284267","13"
"343","21","Surbo- Via B. Croce SN","40.41194","18.120834","13"
"344","14","Ceglie Messapica","40.649166","17.5125","13"
"345","17","EN02 - Assessorato Ecologia","41.107777","16.766111","13"
"346","20","EN03 - Vigili Urbani","41.087223","16.781672","13"
"347","17","EN04 - SAN PAOLO","41.114445","16.787777","13"
"348","17","EN01","41.079166","16.745277","13"
"349","9","Cisternino","40.74278","17.415833","13"
"350","8","Trento Parco S.Chiara","46.063313","11.126211","17"
"351","8","Trento Via Bolzano","46.105213","11.109692","17"
"352","8","Piana Rotaliana","46.21598","11.1202","17"
"353","8","Rovereto Largo Posta","45.891132","11.034715","17"
"354","8","Borgo Valsugana","46.051735","11.453914","17"
"355","8","Riva del Garda","45.893696","10.848389","17"
"356","16","BL - Citta","46.146076","12.216077","20"
"357","18","Area Feltrina","46.021378","11.901615","20"
"358","18","Pieve di Alpago","46.16736","12.352889","20"
"359","17","PD Granze","45.15806","11.715515","20"
"360","4","PD - Mandria","45.370636","11.834594","20"
"361","19","PD - Arcella","45.422493","11.88324","20"
"362","20","Este","45.225143","11.665118","20"
"363","16","Parco Colli Euganei","45.304817","11.712508","20"
"364","16","S.Giustina in Colle","45.567654","11.90197","20"
"365","16","PD - Viale Internato Ignoto","45.394897","11.909285","20"
"366","4","PD - Via G. Carli","45.41487","11.906524","20"
"367","16","Adria","45.056007","12.055885","20"
"368","16","RO - Borsea","45.04072","11.790472","20"
"369","2","RO - Centro","45.069576","11.790569","20"
"370","4","Badia Polesine - Loc.Villafora","45.094177","11.493838","20"
"371","16","Conegliano","45.88412","12.295552","20"
"372","16","TV - Via Lancieri di Novara","45.67178","12.237967","20"
"373","4","Mansue","45.82359","12.536213","20"
"374","16","VE - Via Beccaria","45.470036","12.2213","20"
"375","16","Spinea","45.49479","12.158576","20"
"376","16","VE - Sacca Fisola","45.427048","12.315205","20"
"377","16","San Dona di Piave","45.633575","12.564185","20"
"378","16","VE - Parco Bissuola","45.498383","12.263316","20"
"379","17","VE - Malcontenta","45.43703","12.20514","20"
"380","2","VE - Via Tagliamento","45.488842","12.217279","20"
"381","16","Fumane","45.543236","10.885866","20"
"382","16","Legnago","45.189987","11.307305","20"
"383","2","S. Bonifacio","45.396782","11.280586","20"
"384","2","VR - Borgo Milano","45.345974","10.808535","20"
"385","18","VR - Loc. Cason","45.54434","10.804082","20"
"386","4","Boscochiesanuova","45.621315","11.030781","20"
"387","16","VI - Quartiere Italia","45.6219","11.463667","20"
"388","17","Montebello Nord","45.46939","11.385454","20"
"389","16","Schio","45.710457","11.359526","20"
"390","16","Bassano","45.760628","11.73192","20"
"391","4","Asiago Cima Ekar","45.86345","11.556008","20"
"392","2","VI - San Felice","45.54349","11.530124","20"
"393","16","VI - Ferrovieri","45.535686","11.523797","20"
"394","20","Chiampo","45.546314","11.280275","20"
"395","8","Bergamo Via Garibaldi","45.695686","9.661261","9"
"396","8","Bergamo Via Goisis","45.71592","9.68897","9"
"397","8","Bergamo Via Meucci","45.691044","9.643662","9"
"398","8","Ciserano","45.591557","9.606138","9"
"399","8","Dalmine via Verdi","45.64971","9.601234","9"
"400","8","Filago Marne","45.624466","9.556516","9"
"401","8","Lallio","45.65967","9.61858","9"
"402","8","Osio Sotto","45.620583","9.611544","9"
"403","8","Seriate","45.686363","9.714958","9"
"404","8","Treviglio","45.519337","9.592019","9"
"405","8","Villa di Serio","45.727882","9.738481","9"
"406","8","Brescia Via Turati","45.539536","10.231788","9"
"407","8","Brescia Via Ziziola","45.514565","10.218465","9"
"408","8","Brescia Villaggio Sereno","45.515945","10.219148","9"
"409","8","Rezzato","45.515713","10.33624","9"
"410","8","Sarezzo","45.649612","10.205081","9"
"411","8","Cantu","45.73084","9.125739","9"
"412","8","Como Centro","45.81504","9.066978","9"
"413","8","Mariano Comense","45.68866","9.180649","9"
"414","8","Merate","45.69796","9.406192","9"
"415","8","Agrate","45.57578","9.354094","9"
"416","8","Carate Brianza","45.672016","9.234603","9"
"417","8","Limbiate","45.59096","9.139417","9"
"418","8","Meda","45.66099","9.160225","9"
"419","8","Monza Machiavelli","45.574116","9.263808","9"
"420","8","Monza Parco","45.603073","9.276156","9"
"421","8","Vimercate","45.611744","9.3677","9"
"422","8","Arese","45.543438","9.080729","9"
"423","8","Cinisello Balsamo","45.55233","9.227766","9"
"424","8","Cormano","45.547596","9.166983","9"
"425","8","Corsico","45.43611","9.097412","9"
"426","8","Garbagnate","45.57172","9.078245","9"
"427","8","Legnano","45.59539","8.922039","9"
"428","8","Limito di Pioltello","45.48363","9.327359","9"
"429","8","Milano Abbiategrasso","45.4322","9.182152","9"
"430","8","Milano Liguria","45.44386","9.167945","9"
"431","8","Milano Marche","45.49632","9.190934","9"
"432","8","Milano Parco Lambro","45.499584","9.247327","9"
"433","8","Milano Pascal CittÃ&nbsp; Studi","45.478348","9.231667","9"
"434","8","Milano Senato","45.4705","9.197461","9"
"435","8","Milano Verziere","45.46335","9.195325","9"
"436","8","Milano Zavattari","45.476067","9.141788","9"
"437","8","Pero","45.509857","9.089974","9"
"438","8","Rho","45.52343","9.044602","9"
"439","8","Sesto San Giovanni","45.534767","9.236109","9"
"440","8","Settimo Milanese","45.480274","9.056864","9"
"441","8","Busto Arsizio Accam","45.582886","8.834493","9"
"442","8","Busto Arsizio Magenta","45.61074","8.850121","9"
"443","8","Gallarate San Lorenzo","45.657463","8.797578","9"
"444","8","Saronno Santuario","45.626102","9.025004","9"
"445","8","Calusco","45.690437","9.4842615","9"
"446","8","Lonato","45.463757","10.480782","9"
"447","8","Erba","45.80853","9.221707","9"
"448","8","Cremona Cadorna","45.13195","10.01574","9"
"449","8","Cremona Fatebenefratelli","45.142544","10.043848","9"
"450","8","Cremona via Gerre Borghi","45.109543","10.069242","9"
"451","8","Rivolta d`Adda","45.468555","9.511355","9"
"452","8","Spinadesco","45.150475","9.930598","9"
"453","8","Calolziocorte","45.8021","9.42947","9"
"454","8","Lecco Via Amendola","45.850197","9.395581","9"
"455","8","Lecco Via Sora","45.863754","9.399955","9"
"456","8","Nibionno","45.751118","9.265024","9"
"457","8","Valmadrera","45.842213","9.351663","9"
"458","8","Lodi S. Alberto","45.302788","9.495286","9"
"459","8","Lodi via Vignati","45.306015","9.485275","9"
"460","8","Montanaso","45.336136","9.452553","9"
"461","8","Tavazzano","45.330364","9.414643","9"
"462","8","Abbiategrasso","45.39541","8.913418","9"
"463","8","Arconate","45.548523","8.847326","9"
"464","8","Cassano d`Adda","45.520008","9.512232","9"
"465","8","Cassano d`Adda 2","45.526474","9.515991","9"
"466","8","Cuggiono","45.501488","8.804459","9"
"467","8","Inzago","45.53977","9.4868965","9"
"468","8","Magenta","45.46242","8.880214","9"
"469","8","Trezzo sull`Adda","45.6137","9.508134","9"
"470","8","Truccazzano","45.48456","9.471347","9"
"471","8","Mantova Ariosto","45.145267","10.803335","9"
"472","8","Mantova Gramsci","45.151752","10.781417","9"
"473","8","Mantova Lunetta 2","45.157993","10.82394","9"
"474","8","Mantova S.Agnese","45.160576","10.795573","9"
"475","8","Mantova Tridolino","45.153328","10.859272","9"
"476","8","Marmirolo Fontana","45.208187","10.742648","9"
"477","8","Porto Mantovano","45.19555","10.797273","9"
"478","8","Pavia Folperti","45.194683","9.164649","9"
"479","8","Pavia Minerva","45.186337","9.146677","9"
"480","8","Vigevano Valletta","45.303616","8.844806","9"
"481","8","Ferno","45.619247","8.756976","9"
"482","8","Lonate Pozzolo","45.59403","8.740803","9"
"483","8","MXP Somma","45.64954","8.712699","9"
"484","8","Varese Copelli","45.816975","8.82025","9"
"485","8","Varese Vidoletti","45.836903","8.803935","9"
"486","8","Gambara","45.249554","10.29913","9"
"487","8","Manerbio","45.34996","10.144753","9"
"488","8","Corte dÃ¨ Cortesi","45.27849","10.006206","9"
"489","8","Crema XI febbraio","45.36631","9.703952","9"
"490","8","Piadena","45.129795","10.379837","9"
