"Proposta","Processo","Endereço","Distrito","Área Terreno (m2)","Área Excedente (m2)","Valor Contrapartida (R$)"
"42","2003-0.234.759-0","AV LUIS STAMATIS 00147","JACANA","3.050,00","3.785,63","375.225,97"
"43","2003-0.327.429-4","R  FABIA 00123","LAPA","2.250,00","2.249,94","343.613,09"
"44","2003-0.330.070-8","R  JOSE JANNARELLI 00198","MORUMBI","1.667,00","1.661,41","207.304,09"
"45","2003-0.331.059-2","R LEANDRO DUPRET 00847","SAUDE","1.777,30","1.753,76","292.093,11"
"46","2003-0.321.702-9","R WANDERLEY X R IPEROIG 01223","PERDIZES","1.496,59","1.414,81","305.700,83"
"47","2002-0.266.963-3","R. GABRIEL DOS SANTOS, 370 X R. CONS. BROTERO, 1011","SANTA CECILIA","0,00","875,21","267.486,05"
"48","2003-0.258.858-9","R  DOUTOR JOAO VIEIRA NEVES 00378","RIO PEQUENO","1.371,10","684,10","36.823,39"
"49","2003-0.332.789-4","R  CARAIBAS 00803","PERDIZES","1.058,77","1.053,71","227.288,41"
"50","2003-0.309.762-7","R  REMANSO 00052","VILA MARIANA","2.669,20","1.334,56","370.000,09"
"51","2003-0.295.285-0","R  SOUSA RAMOS 00354 LT 3 QD H","VILA MARIANA","6.000,00","3.495,98","1.207.661,82"
"51","2003-0.295.285-0","R  SOUSA RAMOS 00354 LT 3 QD H","VILA MARIANA","6.000,00","3.180,00","1.535.234,04"
"52","2001-0.256.279-9","R  DIAS DE TOLEDO 00000  N384 384A 402 E 410","SAUDE","1.746,26","873,10","103.462,35"
"53","2003-0.326.311-0","R  JOSE DEBIEUX 00282","SANTANA","3.265,19","1.603,70","241.601,41"
"54","2004-0.017.347-2","R  FLOR DE TILIA 00115","SAUDE","678,24","316,10","48.311,14"
"55","2003-0.310.805-0","R  RIBEIRO DE BARROS 00067","LAPA","1.200,00","1.191,64","168.046,26"
"56","2003-0.331.996-4","R  JORGE AMERICANO 99999","LAPA","1.800,00","1.798,00","214.476,23"
"57","2002-0.137.168-1","AV DIVINO SALVADOR 00621","MOEMA","2.500,77","1.249,33","383.453,11"
"58","2003-0.330.852-0","R  CEL OSCAR PORTO 00436","VILA MARIANA","682,00","681,59","269.688,80"
"59","2003-0.320.268-4","AV SARG LOURIVAL ALVES DE SOUZA 00003","CAMPO GRANDE","3.000,00","1.258,00","277.118,53"
"60","2003-0.329.396-5","R. VERGUEIRO, 2978","VILA MARIANA","0,00","384,09","84.812,83"
"61","2002-0.154.072-6","AV LACERDA FRANCO 00527","CAMBUCI","13.665,50","6.832,64","1.230.131,42"
"62","2003-0.330.783-4","R  JOAQUIM TAVORA 01011","VILA MARIANA","732,25","679,04","128.057,44"
"63","2002-0.130.618-9","R  SANTO IRINEU 00771 775 E 785","SAUDE","1.412,03","702,11","104.605,61"
"64","2003-0.321.971-4","R  ARAGUARI 00817 E 827","MOEMA","1.000,00","995,05","291.211,33"
"65","2002-0.139.239-5","R  CANARIO X R JURITI 395","MOEMA","2.700,00","1.343,63","454.007,20"
"66","2003-0.330.802-4","R  JOINVILLE X R HERMANO RIBEIRO DA SILVA 00176","MOEMA","1.442,84","703,80","244.677,48"
"67","2003-0.137.096-2","R  BARAO DO RIO BRANCO X R LA PAZ 00835","SANTO AMARO","1.932,31","1.004,14","381.583,24"
"68","2003-0.309.768-6","R. BUENO BRANDÃO, 177","MOEMA","0,00","333,95","242.400,61"
"69","2003-0.329.603-4","R  DONA ANTONIA DE QUEIROS 00504","CONSOLACAO","740,35","740,19","336.135,08"
"70","2003-0.331.277-3","R  GUIMARAES PASSOS 00260","VILA MARIANA","1.807,74","902,43","224.829,61"
"71","2003-0.252.168-9","R. NABUCO DE ARAUJO, 75, 73 E 65","SANTANA","0,00","53,90","13.413,82"
"72","2004-0.150.144-9","R. Dr. Luiz Migliano x Dr. Guilherme Dumont Villares","VILA ANDRADE","0,00","308,33","28.096,57"
"72","2004-0.150.144-9","R. Dr. Luiz Migliano x Dr. Guilherme Dumont Villares","VILA ANDRADE","0,00","2.820,02","240.172,64"
"73","2003-0.321.481-0","R  JOAO DE SOUSA DIAS 00541","CAMPO BELO","1.506,19","1.500,00","340.618,50"
"74","2003-0.313.317-8","R  CATIPARA 00146","ITAIM BIBI","2.849,36","2.830,47","501.765,91"
"75","2003-0.333.245-6","R  APINAJES 00244","PERDIZES","1.237,50","1.236,23","267.337,21"
"76","2003-0.205.410-0","R  LA PAZ 00037","SANTO AMARO","2.595,30","537,80","188.133,20"
"77","2003-0.330.781-8","AV. IRAÍ, 782","MOEMA","0,00","647,40","198.786,11"
"78","2003-0.333.224-3","R  DOUTOR RAFAEL DE BARROS 00211","VILA MARIANA","1.453,49","1.449,22","636.903,21"
"79","2002-0.302.091-6","AL MINISTRO ROCHA AZEVEDO 00901","JARDIM PAULISTA","2.050,99","278,93","120.630,81"
"80","2004-0.150.030-2","R. PROFESSOR JOÃO MACHADO, 127","FREGUESIA DO O","0,00","448,21","23.100,74"
"81","2003-0.331.513-6","R  JOAO RAMALHO 01505","PERDIZES","2.043,69","2.034,82","438.916,78"
"82","2003-0.324.499-9","R  CALOGERO CALIA 00192","CURSINO","1.943,07","1.572,87","149.868,56"
"83","2004-0.210.709-4","R DR OSCAR MONTEIRO DE BARROS 99999 LT 6 QD 15","VILA ANDRADE","2.552,00","1.274,64","200.744,33"
"84","2002-0.228.910-5","R. ITAPIMIRUM, S/ N°","VILA ANDRADE","0,00","831,66","95.455,44"
"85","2003-0.322.168-9","R  PROFESSOR TRANQUILLI 00206","VILA MARIANA","1.199,76","1.198,93","225.065,54"
"86","2003-0.332.948-0","R. MARIA FIGUEIREDO X R. OTÁVIO NÉBIAS, S/ N°","VILA MARIANA","0,00","1.395,23","590.182,29"
"87","2003-0.140.318-6","R  BRESSER 00301","BELEM","5.822,00","6.481,18","2.309.186,10"
"88","2002-0.303.047-4","AV ALBERTO BYINGTON X R PRAINHA 00000","VILA MARIA","4.550,00","868,64","72.672,59"
"89","2003-0.329.394-9","R  DOUTOR RAFAEL DE BARROS 00497","VILA MARIANA","996,62","996,21","394.032,93"
"90","2004-0.061.031-7","R. VOLUNTÁRIOS DA PÁTRIA, 300","SANTANA","0,00","4.289,64","867.323,97"
"91","2003-0.247.200-9","R  MAJOR FREIRE 00806","SAUDE","981,28","759,39","78.323,48"
"92","2004-0.150.842-7","R CAIUBI 00507","PERDIZES","2.196,98","1.089,00","473.368,70"
"93","2003-0.331.518-7","R  GUIRATINGA X R GUAIRA 00051","SAUDE","2.242,78","2.234,04","237.623,66"
"94","2004-0.166.138-1","R  BORBA GATO 00059","SANTO AMARO","19.975,38","846,03","276.990,22"
"95","2004-0.071.546-1","R. CONS. MOREIRA DE BARROS X R. PE. FCO JOÃO DE AZEVEDO","MANDAQUI","0,00","1.409,50","83.142,88"
"96","2004-0.065.870-0","R  CAMBARA 00183","AGUA RASA","527,77","39,78","6.357,84"
"97","2003-0.329.196-2","AV DAMASCENO VIEIRA 01143","JABAQUARA","1.600,00","1.598,29","147.022,70"
"98","2004-0.151.796-5","R. Belchior de Azevedo, n° 222 x R. Belmonte, 130","VILA LEOPOLDINA","0,00","568,40","48.497,59"
"98","2004-0.151.796-5","R. Belchior de Azevedo, n° 222 x R. Belmonte, 130","VILA LEOPOLDINA","0,00","1.705,22","264.341,15"
"99","2003-0.333.105-0","R. MARTIM FRANCISCO X R. DAS PAINEIRAS, 71","SANTA CECILIA","0,00","2.290,13","523.398,19"
"100","2004-0.156.035-6","R  MARECHAL HERMES DA FONSECA 00091","SANTANA","3.242,69","1.620,00","219.161,70"
"101","2003-0.332.942-0","AV FAGUNDES FILHO 00744","SAUDE","2.451,00","2.428,21","336.513,48"
"102","2004-0.152.553-4","R  SAO GIL 00208","CARRAO","2.001,00","1.000,23","94.461,72"
"103","2004-0.124.479-9","R  DO LIVRAMENTO X R JOINVILLE 00173","MOEMA","1.852,00","916,83","318.737,78"
"104","2002-0.120.070-4","R. PRIMEIRO DE JANEIRO, S/ N°","SAUDE","0,00","1.334,08","312.344,82"
"105","2002-0.291.797-1","R  MELO ALVES 00690","JARDIM PAULISTA","3.104,02","1.480,74","837.007,53"
"106","2004-0.125.629-0","R  AGNALDO MANUEL DOS SANTOS 00270","VILA MARIANA","2.308,21","1.153,00","289.072,09"
"107","2004-0.126.928-7","R  CONEGO LADEIRA 00333","TUCURUVI","992,70","1.020,85","68.140,21"
"108","2004-0.142.586-6","R  CRISTOVAO LINS 00202","VILA GUILHERME","1.000,00","430,04","34.239,78"
"109","2003-0.334.162-5","R  AFONSO CELSO 00833","VILA MARIANA","2.836,05","4.643,91","1.152.126,21"
"110","2003-0.333.905-1","R  JOSE MARIA LISBOA 00377","JARDIM PAULISTA","1.545,26","1.500,00","666.319,50"
"111","2004-0.255.525-9","R PROFESSORA HELENA MOURA LACERDA 00140","VILA LEOPOLDINA","3.574,79","313,04","79.171,57"
"112","2003-0.334.948-0","R NAPOLEAO DE BARROS 01190","SAUDE","932,60","932,35","155.285,22"
"113","2004-0.130.352-3","R GEORGE SMITH 00357","LAPA","3.202,00","87,12","26.431,34"
"114","2003-0.329.878-9","R. FRANCISCO JUSTINO DE AZEVEDO, 80","LIBERDADE","0,00","3.984,43","373.839,15"
"115","2004-0.139.544-4","R DR JOSE VICENTE DE AZEVEDO 00114","SAUDE","1.721,50","860,45","137.327,82"
"116","2003-0.332.081-4","R  JOSE GETULIO X R TAMANDARE 00054","LIBERDADE","1.469,02","30,60","5.617,93"
"117","2004-0.153.130-5","R  VISCONDE DE INHAUMA 00262","SAUDE","1.900,00","3.797,80","514.013,24"
"118","2004-0.123.292-8","R  DOUTOR BRASILIO MACHADO 00126","SANTA CECILIA","1.080,00","2.160,00","1.059.334,20"
"119","2004-0.172.010-8","R  PRIMEIRO DE JANEIRO 00063","SAUDE","544,00","75,38","32.638,86"
"120","2003-0.333.749-0","R. ERMANO MARCHETTI, 1435","LAPA","0,00","1.970,54","675.225,20"
"121","2003-0.234.082-0","R  FAUSTOLO 01081","LAPA","2.276,00","2.276,00","319.120,24"
"122","2004-0.241.294-6","R. GONÇALVES CRESPO, 78","TATUAPE","0,00","692,42","135.520,44"
"123","2004-0.144.500-0","R  DOMINGOS LOPES DA SILVA 99999","VILA ANDRADE","3.910,00","1.945,82","186.244,16"
"124","2003-0.334.164-1","R GUARARA 00551","JARDIM PAULISTA","1.312,86","1.783,78","963.000,39"
"125","2004-0.202.786-4","R. CAJAIBA, 31","PERDIZES","0,00","347,51","83.043,77"
"126","2002-0.186.164-6","R LEME DO PRADO X R SANTO ARISTIDES 99999","SANTO AMARO","1.528,00","1.515,18","310.655,84"
"127","2003-0.330.082-1","R  AMERICO BRASILIENSE 01580 1570 E 1582","SANTO AMARO","1.320,00","1.320,00","245.203,20"
"128","2004-0.157.953-7","R  MARIE NADER CALFAT 00000","VILA ANDRADE","3.024,00","1.512,00","296.395,85"
"129","2004-0.084.246-3","AV OTAVIANO ALVES DE LIMA 04400","FREGUESIA DO O","51.918,76","1.320,45","137.695,87"
"130","2003-0.334.973-1","R GUAIRA 00216","SAUDE","2.731,74","2.731,71","247.800,24"
"131","2002-0.113.781-6","R  CRISTIANO VIANA 00250","JARDIM PAULISTA","1.546,62","772,36","331.150,12"
"132","2004-0.247.290-6","R. DESEMBARGADOR DALMO DO VALLE NOGUEIRA, S/ N°","VILA ANDRADE","0,00","103,59","6.979,27"
"133","2002-0.147.105-8","R  DR.GUILHERME CRISTOFFEL X R DONA LUIZA TOLLE 00465","SANTANA","4.630,56","723,15","111.531,42"
"134","2004-0.205.672-4","R  DIOGO DE QUADROS X R CANCIONEIRO DE EVORA 00288","SANTO AMARO","3.174,43","1.585,02","303.834,07"
"135","2003-0.331.266-8","R  COTOXO 00472","PERDIZES","1.300,00","650,00","165.145,50"
"136","2003-0.329.711-1","R  AFONSO DE FREITAS 00669","VILA MARIANA","750,00","746,62","316.095,76"
"137","2003-0.329.007-9","R  DOUTOR AMANCIO DE CARVALHO 00459","VILA MARIANA","1.397,74","698,68","207.482,81"
"138","2002-0.151.147-5","R  SANTA LEOCADIA 00151","VILA GUILHERME","1.207,60","473,39","47.728,36"
"139","2003-0.043.491-6","R. SÃO VICENTE DE PAULO, S/ N°","SANTA CECILIA","0,00","0,00","0,00"
"140","2004-0.264.178-3","R  GASPAR LOURENCO 00191","VILA MARIANA","1.200,00","599,81","159.778,59"
"141","2003-0.333.000-3","R  CORONEL SOUSA REIS 00140","TATUAPE","1.092,00","1.073,76","134.994,18"
"142","2003-0.279.196-1","AV JABAQUARA 01909","SAUDE","1.180,50","1.134,75","259.652,93"
"143","2004-0.167.318-5","R  VISCONDE DE TAUNAY 00555","SANTO AMARO","3.483,01","1.740,90","291.771,36"
"144","2002-0.289.812-8","R  EMILIO MALLET 00984","TATUAPE","1.871,27","170,52","19.666,92"
"145","2003-0.333.903-5","AV NOVE DE JULHO 03239","JARDIM PAULISTA","1.111,00","1.060,35","323.560,50"
"146","2004-0.278.411-8","R  ARCIPRESTE EZEQUIAS 00473","IPIRANGA","1.320,00","659,58","79.980,67"
"147","2003-0.330.643-9","R MANOEL DUTRA 00553","BELA VISTA","1.202,17","1.028,24","168.371,73"
"148","2003-0.330.301-4","R  TRIPOLI 00092","VILA LEOPOLDINA","1.000,00","796,66","86.593,76"
"149","2002-0.131.451-3","AL. DOS AICÁS, 159","MOEMA","0,00","1.694,56","772.449,93"
"150","2004-0.146.433-0","R. DA CONSOLAÇÃO, S/ N°","JARDIM PAULISTA","0,00","1.096,66","754.862,88"
"151","2004-0.151.836-8","R. CAETANÓPOLIS, S/ N°","JAGUARE","0,00","1.569,46","62.256,55"
"152","2004-0.283.778-5","R. JANDIATUBA, S/ N°","VILA ANDRADE","0,00","0,00","0,00"
"153","2003-0.272.406-7","R  CATULO DA PAIXAO CEARENSE 00210","SAUDE","1.300,00","1.280,12","115.508,43"
"154","2004-0.263.749-2","R DESEMB DALMO DO VALLE NOGUEIRA 00890","VILA ANDRADE","1.637,00","2.242,93","335.811,48"
"155","2003-0.326.376-4","R  ITAPETI 00515","TATUAPE","2.779,74","1.389,11","290.346,22"
"156","2004-0.255.326-4","AV ENG. HEITOR ANTONIO EIRAS GARCIA 01837","BUTANTA","1.546,00","1.562,54","216.694,61"
"157","2002-0.173.627-2","R  RODRIGO CLAUDIO 00468","LIBERDADE","1.239,94","619,96","137.924,05"
"158","2004-0.295.240-1","R  RIO GRANDE 00477","VILA MARIANA","3.170,51","1.563,16","466.467,27"
"159","2004-0.151.840-6","R ANTONIO AGGIO 1005","VILA ANDRADE","3.563,00","655,76","104.539,29"
"160","2004-0.139.535-5","R  FORTUNATO FERRAZ 320","LAPA","6.583,50","915,24","73.508,42"
"161","2004-0.262.915-5","R  SILVIO DE MOURA 00305","TUCURUVI","1.600,00","799,94","69.898,36"
"162","2004-0.173.348-0","R  JOSE FLAVIO 253","PENHA","924,00","36,98","4.154,70"
"163","2004-0.152.593-3","R  TUBARANA 42","VILA MARIANA","1.180,00","129,73","65.555,55"
"164","2004-0.227.306-7","R  VILELA 990","TATUAPE","627,00","1.051,10","202.052,95"
"165","2004-0.045.819-1","AV LEONCIO DE MAGALHAES 01004","SANTANA","2.201,45","1.558,04","435.330,40"
"166","2004-0.260.754-2","R  ARAGAO 1071","TUCURUVI","905,00","801,71","0,00"
"167","2002-0.142.170-0","R  TUIUTI 569","TATUAPE","3.502,24","1.750,48","223.900,40"
"168","2004-0.160.790-5","R. OSCAR FREIRE, 2039","JARDIM PAULISTA","0,00","0,00","0,00"
"169","2004-0.228.929-0","AV PARANAGUA 99999999","ERMELINO MATARAZZO","1.555,54","367,37","8.780,57"
"169","2004-0.228.929-0","AV PARANAGUA 99999999","ERMELINO MATARAZZO","1.555,54","405,39","0,00"
"170","2004-0.285.994-0","R  SANTO ARISTIDES 182","SANTO AMARO","900,00","1.224,20","376.489,24"
"171","2004-0.260.124-2","ES DAS LAGRIMAS 99999","SACOMA","2.493,80","2.357,27","0,00"
"172","2004-0.300.344-6","R  ALCANTARILLA 99999","VILA ANDRADE","1.152,00","575,53","77.422,02"
"173","2004-0.152.614-0","R  EMBUACU 1","VILA MARIANA","3.339,00","3.136,83","892.509,69"
"174","2004-0.295.713-6","R  DIONISIO DA COSTA 63","VILA MARIANA","1.200,00","599,94","151.584,44"
"175","2003-0.328.886-4","R JOAO RUDGE 00243 251 275 301","CASA VERDE","4.282,53","3.934,00","292.099,50"
"176","2004-0.255.325-6","R  MONTE CASEROS X R CORONEL CAMISAO 99999","BUTANTA","1.426,97","710,94","99.815,98"
"177","2004-0.299.683-2","R  GEORGE OETTERER 250","SANTANA","1.281,50","636,68","102.631,22"
"178","2003-0.326.967-3","R  DONA VERIDIANA 64","SANTA CECILIA","775,50","734,69","159.938,34"
"178","2003-0.326.967-3","R  DONA VERIDIANA 64","SANTA CECILIA","775,50","29,36","6.817,63"
"179","2004-0.299.324-8","R  TAIPAS 00059","PERDIZES","1.673,78","3.346,59","903.067,27"
"180","2005-0.018.300-3","R ITARARE 168","BELA VISTA","1.632,36","3.243,26","1.331.933,91"
"181","2004-0.153.030-9","AV PROFESSOR ASCENDINO REIS 1245","MOEMA","2.505,71","1.252,85","324.344,07"
"182","2003-0.331.281-1","R CORONEL LISBOA 265","VILA MARIANA","7.921,18","3.950,06","1.430.340,43"
"183","2004-0.156.043-7","R. VIRADOURO, 120","ITAIM BIBI","0,00","3.339,70","1.616.722,05"
"184","2003-0.325.299-1","R  CAMILO 00173","LAPA","2.500,00","1.249,98","229.485,08"
"185","2004-0.296.028-5","R  CORIOLANO 00991 A 1025","LAPA","2.642,20","5.175,00","1.206.385,65"
"186","2004-0.298.924-0","R. ELIZABETH B. BALDINATO, S/ N°","VILA SONIA","0,00","933,64","119.249,16"
"187","2003-0.318.008-7","AL NOTHMANN 00820","SANTA CECILIA","2.698,69","2.698,03","495.419,01"
"188","2004-0.298.038-3","R  PRESIDENTE ANTONIO CANDIDO 00317","LAPA","2.622,36","5.215,09","998.465,49"
"189","2004-0.297.062-0","R IPEROIG 00244 248 252","PERDIZES","2.600,00","1.300,00","421.176,60"
"190","2005-0.019.174-0","R  JOINVILLE 00284","MOEMA","2.341,87","1.756,40","746.687,79"
"191","2003-0.204.973-4","R. BIMBARRA, S/ N°","VILA FORMOSA","0,00","1.142,43","148.547,32"
"192","2004-0.286.795-1","R  JOSE MARIA LISBOA 1163","JARDIM PAULISTA","444,00","131,97","101.781,86"
"193","2005-0.014.230-7","AV LACERDA FRANCO 484","LIBERDADE","1.362,50","665,41","128.362,58"
"194","2003-0.324.951-6","R  GASPAR LOURENCO 00210","VILA MARIANA","2.250,00","1.124,99","299.677,09"
"195","2005-0.014.862-3","AV CHIBARAS 00099","MOEMA","611,59","305,79","100.424,49"
"196","2005-0.015.345-7","AL ITUPIRANGA 00375 LT 1","SACOMA","1.540,00","1.625,33","0,00"
"197","2004-0.279.361-3","R  DOUTOR LAERTE SETUBAL 00000 LT 4 QD30","VILA ANDRADE","2.108,00","556,65","60.989,91"
"198","2005-0.018.379-8","R  ALEXANDRE BENOIS 00017 LT 21 QD 26 VL A","VILA ANDRADE","360,00","56,80","12.803,86"
"199","2005-0.141.089-5","ESTRADA DAS LAGRIMAS X R AVELINO BARRETO 02789","SACOMA","4.700,00","335,81","29.373,03"
"199","2005-0.141.089-5","ESTRADA DAS LAGRIMAS X R AVELINO BARRETO 02789","SACOMA","4.700,00","990,47","48.130,90"
"200","2005-0.019.219-3","AV DEPUTADO EMILIO CARLOS 00351","LIMAO","3.058,00","1.360,47","0,00"
"201","2000-0.275.754-7","AV ACOCE 92","MOEMA","2.110,00","1.055,00","346.472,55"
"202","2005-0.021.960-1","AV DA INVERNADA 498","CAMPO BELO","1.229,00","611,40","146.616,78"
"203","2004-0.159.657-1","R  DELEGADO MORAES NOVAES 159","VILA ANDRADE","900,00","543,33","73.980,36"
"204","2004-0.298.985-2","R  BARBARA HELIODORA 321","PERDIZES","1.290,34","666,70","113.417,67"
"205","2004-0.297.908-3","R. MONTESQUIEU Nº100","VILA MARIANA","0,00","1.070,31","287.114,93"
"206","2005-0.009.695-0","R  EUGENIO DE FREITAS 355","VILA GUILHERME","5.427,50","4.228,39","0,00"
"207","2004-0.247.707-0","AV PREFEITO FABIO PRADO 110","VILA MARIANA","630,00","21,83","6.194,50"
"208","2004-0.151.662-4","R  GASPAR SOARES 00128","SANTANA","921,50","953,66","137.856,32"
"209","2005-0.019.356-4","R  CORIOLANO 01474","LAPA","1.665,17","3.317,00","696.500,34"
"210","2002-0.129.448-2","R  TAMANDARE 00984","LIBERDADE","6.023,00","4.970,92","0,00"
"211","2004-0.266.971-8","R JAGUARI 381","CURSINO","6.259,13","3.129,50","454.719,48"
"212","2005-0.021.022-1","R  RONDINHA 00082","SAUDE","845,22","1.687,09","286.936,05"
"213","2004-0.297.912-1","R  PIRAPORA 00086","MOEMA","2.250,00","1.124,99","418.482,78"
"214","2004-0.302.186-0","R. AFONSO BRÁS Nº 747 / 775","MOEMA","0,00","3.717,43","2.387.816,81"
"215","2001-0.169.671-6","R ANTONIO AGGIO 00000","VILA ANDRADE","915,45","539,60","106.860,23"
"216","2004-0.278.713-3","R  GIBRALTAR 00258","SANTO AMARO","1.669,60","294,71","77.523,47"
"217","2005-0.022.455-9","R MAJOR DANTAS CORTEZ 67","TUCURUVI","3.345,00","1.637,76","120.506,38"
"218","2005-0.020.479-5","R  VALSON LOPES 70","RIO PEQUENO","4.853,94","2.368,53","107.610,61"
"219","2003-0.326.372-1","R  AGNALDO MANUEL DOS SANTOS 99999","VILA MARIANA","2.275,00","1.130,78","303.336,26"
"220","2005-0.021.050-7","R  VIENA 97","SACOMA","1.894,00","2.708,24","0,00"
"221","2003-0.327.617-3","AV ULTRAMARINO 99999","MANDAQUI","2.304,00","1.141,37","72.705,27"
"222","2004-0.293.957-0","R. BARÃO DE LADÁRIO, Nº 670","BRAS","0,00","6.283,15","1.259.545,50"
"223","2004-0.297.840-0","R  ELEONORA CINTRA 99999","VILA FORMOSA","2.816,00","1.745,10","324.248,31"
"224","2004-0.152.983-1","R  CURITIBA 00309","MOEMA","2.686,28","1.343,14","499.789,11"
"225","2004-0.149.019-6","AV MINISTRO GABRIEL DE REZENDE PASSOS 00423","MOEMA","1.700,25","1.821,55","922.061,32"
"226","2005-0.017.024-6","AV LINS DE VASCONCELOS 2880","VILA MARIANA","2.372,92","1.186,16","299.702,30"
"227","2005-0.018.419-0","R  CATULO DA PAIXAO CEARENSE 566","SAUDE","1.350,00","674,95","85.519,54"
"228","2004-0.155.051-2","R  JOEL JORGE DE MELO 235","VILA MARIANA","1.001,20","2.000,42","602.730,55"
