msp_module,port,name
infovista_enum.rb,443,InfoVista VistaPortal Application Bruteforce Login Utility
intel_amt_digest_bypass.rb,16992,Intel AMT Digest Authentication Bypass Scanner
jboss_status.rb,8080,JBoss Status Servlet Information Gathering
jenkins_login.rb,8080,Jenkins-CI Login Utility
linknat_vos_traversal.rb,80,Linknat Vos Manager Traversal
manageengine_deviceexpert_traversal.rb,6060,ManageEngine DeviceExpert 5.6 ScheduleResultViewer FileName Traversal
manageengine_deviceexpert_user_creds.rb,6060,ManageEngine DeviceExpert User Credentials
mediawiki_svg_fileaccess.rb,80,MediaWiki SVG XML Entity Expansion Remote File Access
meteocontrol_weblog_extractadmin.rb,8080,Meteocontrol WEBlog Password Extractor
mybook_live_login.rb,80,Western Digital MyBook Live Login Utility
netdecision_traversal.rb,8087,NetDecision NOCVision Server Directory Traversal
novell_file_reporter_fsfui_fileaccess.rb,3037,NFR Agent FSFUI Record Arbitrary Remote File Access
novell_file_reporter_srs_fileaccess.rb,3037,NFR Agent SRS Record Arbitrary Remote File Access
octopusdeploy_login.rb,80,Octopus Deploy Login Utility
open_proxy.rb,8080,HTTP Open Proxy Detection
openmind_messageos_login.rb,8888,OpenMind Message-OS Portal Login Brute Force Utility
oracle_demantra_database_credentials_leak.rb,8080,Oracle Demantra Database Credentials Leak
oracle_demantra_file_retrieval.rb,8080,Oracle Demantra Arbitrary File Retrieval with Authentication Bypass
oracle_ilom_login.rb,443,Oracle ILO Manager Login Brute Force Utility
owa_ews_login.rb,443,OWA Exchange Web Services (EWS) Login Scanner
rips_traversal.rb,80,RIPS Scanner Directory Traversal
s40_traversal.rb,80,S40 0.4.2 CMS Directory Traversal Vulnerability
sap_businessobjects_user_brute_web.rb,6405,SAP BusinessObjects Web User Bruteforcer
sap_businessobjects_user_brute.rb,8080,SAP BusinessObjects User Bruteforcer
sap_businessobjects_user_enum.rb,8080,SAP BusinessObjects User Enumeration
sap_businessobjects_version_enum.rb,8080,SAP BusinessObjects Version Detection
servicedesk_plus_traversal.rb,8080,"""ManageEngine ServiceDesk Plus Path Traversal"","
smt_ipmi_49152_exposure.rb,49152,Supermicro Onboard IPMI Port 49152 Sensitive File Exposure
smt_ipmi_static_cert_scanner.rb,443,Supermicro Onboard IPMI Static SSL Certificate Scanner
sockso_traversal.rb,4444,Sockso Music Host Server 1.5 Directory Traversal
splunk_web_login.rb,8000,Splunk Web Interface Login Utility
ssl.rb,443,HTTP SSL Certificate Information
support_center_plus_directory_traversal.rb,8080,"""ManageEngine Support Center Plus Directory Traversal"","
surgenews_user_creds.rb,9080,SurgeNews User Credentials
sybase_easerver_traversal.rb,8000,Sybase Easerver 6.3 Directory Traversal
symantec_brightmail_ldapcreds.rb,443,Symantec Messaging Gateway 10 Exposure of Stored AD Password Vulnerability
symantec_brightmail_logfile.rb,41080,Symantec Messaging Gateway 9.5 Log File Download Vulnerability
titan_ftp_admin_pwd.rb,31001,Titan FTP Administrative Password Disclosure
tomcat_enum.rb,8080,Apache Tomcat User Enumeration
tomcat_mgr_login.rb,8080,Tomcat Application Manager Login Utility
wangkongbao_traversal.rb,85,WANGKONGBAO CNS-1000 and 1100 UTM Directory Traversal
wildfly_traversal.rb,8080,WildFly Directory Traversal
wordpress_xmlrpc_login.rb,80,Wordpress XML-RPC Username/Password Login Scanner
yaws_traversal.rb,8080,"""Yaws Web Server Directory Traversal"","
zabbix_login.rb,80,Zabbix Server Brute Force Utility
zenworks_assetmanagement_fileaccess.rb,8080,Novell ZENworks Asset Management 7.5 Remote File Access
zenworks_assetmanagement_getconfig.rb,8080,Novell ZENworks Asset Management 7.5 Configuration Access
cisco_ike_benigncertain.rb,500,Cisco IKE Information Disclosure
ipidseq.rb,80,IPID Sequence Scanner
ipmi_cipher_zero.rb,623,IPMI 2.0 Cipher Zero Authentication Bypass Scanner
ipmi_dumphashes.rb,623,IPMI 2.0 RAKP Remote SHA1 Password Hash Retrieval
ipmi_version.rb,623,IPMI Information Discovery
server_info.rb,4672,Gather Kademlia Server Information
memcached_amp.rb,11211,Memcached Stats Amplification Scanner
memcached_udp_version.rb,11211,Memcached UDP Version Scanner
cctv_dvr_login.rb,5920,CCTV DVR Login Scanning Utility
cisco_smart_install.rb,4786,Identify Cisco Smart Install endpoints
clamav_control.rb,3310,ClamAV Remote Command Transmitter
dahua_dvr_auth_bypass.rb,37777,"%q(Dahua DVR Auth Bypass Scanner),"
easycafe_server_fileaccess.rb,831,EasyCafe Server Remote File Access
ib_service_mgr_info.rb,3050,Borland InterBase Services Manager Information
java_rmi_server.rb,1099,Java RMI Server Insecure Endpoint Code Execution Scanner
raysharp_dvr_passwords.rb,9000,Ray Sharp DVR Password Retriever
rosewill_rxs3211_passwords.rb,13364,Rosewill RXS-3211 IP Camera Password Retriever
sercomm_backdoor_scanner.rb,32764,SerComm Network Device Backdoor Detection
zenworks_preboot_fileaccess.rb,998,Novell ZENworks Configuration Management Preboot Service Remote File Access
mongodb_login.rb,27017,MongoDB Login Utility
timbuktu_udp.rb,407,Motorola Timbuktu Service Detection
msf_rpc_login.rb,55553,Metasploit RPC Interface Login Utility
msf_web_login.rb,3790,Metasploit Web Interface Login Utility
mysql_version.rb,3306,MySQL Server Version Enumeration
nessus_ntp_login.rb,1241,Nessus NTP Login Utility
nessus_rest_login.rb,8834,Nessus RPC Interface Login Utility
nessus_xmlrpc_login.rb,8834,Nessus XMLRPC Interface Login Utility
nessus_xmlrpc_ping.rb,8834,Nessus XMLRPC Interface Ping Utility
nbname.rb,137,NetBIOS Information Discovery
nexpose_api_login.rb,3780,NeXpose API Interface Login Utility
nntp_login.rb,119,NNTP Login Utility
openvas_gsad_login.rb,443,OpenVAS gsad Web Interface Login Utility
openvas_omp_login.rb,9390,OpenVAS OMP Login Utility
openvas_otp_login.rb,9391,OpenVAS OTP Login Utility
emc_sid.rb,1158,Oracle Enterprise Manager Control SID Discovery
isqlplus_login.rb,5560,Oracle iSQL*Plus Login Utility
isqlplus_sidbrute.rb,5560,Oracle iSQLPlus SID Check
sid_brute.rb,1521,Oracle TNS Listener SID Bruteforce
sid_enum.rb,1521,Oracle TNS Listener SID Enumeration
spy_sid.rb,1158,Oracle Application Server Spy Servlet SID Enumeration
tnslsnr_version.rb,1521,Oracle TNS Listener Service Version Query
tnspoison_checker.rb,1521,Oracle TNS Listener Checker
xdb_sid_brute.rb,8080,Oracle XML DB SID Discovery via Brute Force
xdb_sid.rb,8080,Oracle XML DB SID Discovery
pcanywhere_login.rb,5631,PcAnywhere Login Scanner
pcanywhere_tcp.rb,5631,PcAnywhere TCP Service Discovery
pcanywhere_udp.rb,5632,PcAnywhere UDP Service Discovery
pop3_login.rb,110,POP3 Login Utility
pop3_version.rb,110,POP3 Banner Grabber
portmap_amp.rb,111,Portmapper Amplification Scanner
postgres_dbname_flag_injection.rb,5432,PostgreSQL Database Name Command Line Flag Injection
canon_iradv_pwd_extract.rb,8000,Canon IR-Adv Password Extractor
server_info.rb,27960,Gather Quake Server Information
rdp_scanner.rb,3389,Identify endpoints speaking the Remote Desktop Protocol (RDP)
redis_server.rb,6379,Redis Command Execute Scanner
rexec_login.rb,512,rexec Authentication Scanner
rlogin_login.rb,513,rlogin Authentication Scanner
rsh_login.rb,514,rsh Authentication Scanner
modules_list.rb,873,List Rsync Modules
sap_ctc_verb_tampering_user_mgmt.rb,50000,SAP CTC Service Verb Tampering User Management
sap_hostctrl_getcomputersystem.rb,1128,SAP Host Agent Information Disclosure
sap_icf_public_info.rb,8000,SAP ICF /sap/public/info Service Sensitive Information Gathering
sap_mgmt_con_abaplog.rb,50013,SAP Management Console ABAP Syslog Disclosure
sap_mgmt_con_brute_login.rb,50013,SAP Management Console Brute Force
sap_mgmt_con_extractusers.rb,50013,SAP Management Console Extract Users
sap_mgmt_con_getaccesspoints.rb,50013,SAP Management Console Get Access Points
sap_mgmt_con_getenv.rb,50013,SAP Management Console getEnvironment
sap_mgmt_con_getlogfiles.rb,50013,SAP Management Console Get Logfile
sap_mgmt_con_getprocesslist.rb,50013,SAP Management Console GetProcessList
sap_mgmt_con_getprocessparameter.rb,50013,SAP Management Console Get Process Parameters
sap_mgmt_con_instanceproperties.rb,50013,SAP Management Console Instance Properties
sap_mgmt_con_listlogfiles.rb,50013,SAP Management Console List Logfiles
sap_mgmt_con_startprofile.rb,50013,SAP Management Console getStartProfile
sap_mgmt_con_version.rb,50013,SAP Management Console Version Detection
sap_router_info_request.rb,3299,SAPRouter Admin Request
sap_smb_relay.rb,8000,SAP SMB Relay Abuse
sap_soap_bapi_user_create1.rb,8000,SAP /sap/bc/soap/rfc SOAP Service BAPI_USER_CREATE1 Function User Creation
sap_soap_rfc_brute_login.rb,8000,SAP SOAP Service RFC_PING Login Brute Forcer
sap_soap_rfc_dbmcli_sxpg_command_exec.rb,8000,SAP /sap/bc/soap/rfc SOAP Service SXPG_COMMAND_EXEC Function Command Injection
sap_soap_rfc_eps_get_directory_listing.rb,8000,SAP SOAP RFC EPS_GET_DIRECTORY_LISTING Directories Information Disclosure
sap_soap_rfc_ping.rb,8000,SAP /sap/bc/soap/rfc SOAP Service RFC_PING Function Service Discovery
sap_soap_rfc_read_table.rb,8000,SAP /sap/bc/soap/rfc SOAP Service RFC_READ_TABLE Function Dump Data
sap_soap_rfc_susr_rfc_user_interface.rb,8000,SAP /sap/bc/soap/rfc SOAP Service SUSR_RFC_USER_INTERFACE Function User Creation
sap_soap_rfc_sxpg_call_system_exec.rb,8000,SAP /sap/bc/soap/rfc SOAP Service SXPG_CALL_SYSTEM Function Command Execution
sap_soap_rfc_sxpg_command_exec.rb,8000,SAP SOAP RFC SXPG_COMMAND_EXECUTE
sap_soap_rfc_system_info.rb,8000,SAP /sap/bc/soap/rfc SOAP Service RFC_SYSTEM_INFO Function Sensitive Information Gathering
