"place_name","place_name_ascii"
"Zigliara","Zigliara"
"Zifignola","Zifignola"
"Zicavo","Zicavo"
"Zévaco","Zevaco"
"Zérubia","Zerubia"
"Zermezeele","Zermezeele"
"Zente","Zente"
"Zembs","Zembs"
"Zelucq","Zelucq"
"Zelsheim","Zelsheim"
"Zellwiller","Zellwiller"
"Zellenberg","Zellenberg"
"Zeinheim","Zeinheim"
"Zehnacker","Zehnacker"
"Zegerscappel","Zegerscappel"
"Zarbeling","Zarbeling"
"Zanière","Zaniere"
"Zalana","Zalana"
"Zagat","Zagat"
"Zaessingue","Zaessingue"
"Yzosse","Yzosse"
"Yzeux","Yzeux"
"Yzeures-sur-Creuse","Yzeures-sur-Creuse"
"Yzeure","Yzeure"
"Yzeron","Yzeron"
"Yzeron","Yzeron"
"Yzernay","Yzernay"
"Yzengremer","Yzengremer"
"Ruisseau l’Yvron","Ruisseau l'Yvron"
"Yvrencheux","Yvrencheux"
"Yvrench","Yvrench"
"Yvré-l’Évêque","Yvre-l'Eveque"
"Yvré-le-Pôlin","Yvre-le-Polin"
"Yvraumont","Yvraumont"
"Yvrandes","Yvrandes"
"Yvrac-et-Malleyrand","Yvrac-et-Malleyrand"
"Yvrac","Yvrac"
"Yvoy-le-Marron","Yvoy-le-Marron"
"Yvoire","Yvoire"
"Yville-sur-Seine","Yville-sur-Seine"
"Yvignac-la-Tour","Yvignac-la-Tour"
"Yviers","Yviers"
"Yvias","Yvias"
"Yvette","Yvette"
"Yvette","Yvette"
"Yvetot-Bocage","Yvetot-Bocage"
"Yvetot","Yvetot"
"Pointe d’Yves","Pointe d'Yves"
"Yves","Yves"
"Yversay","Yversay"
"Yvernaumont","Yvernaumont"
"Yvernailles","Yvernailles"
"Forêt des Yvelines","Foret des Yvelines"
"Département des Yvelines","Departement des Yvelines"
"Yvelin","Yvelin"
"Yvel","Yvel"
"Yvecrique","Yvecrique"
"Ytres","Ytres"
"Ytrac","Ytrac"
"Arrondissement d’Yssingeaux","Arrondissement d'Yssingeaux"
"Yssingeaux","Yssingeaux"
"Château d’Yssertieux","Chateau d'Yssertieux"
"Yssandon","Yssandon"
"Yssamat","Yssamat"
"Yssac-la-Tourette","Yssac-la-Tourette"
"Ruisseau l’Ysieux","Ruisseau l'Ysieux"
"Yrouerre","Yrouerre"
"Yronde-et-Buron","Yronde-et-Buron"
"Ruisseau l’Yron","Ruisseau l'Yron"
"Yron","Yron"
"Yquelon","Yquelon"
"Yquebeuf","Yquebeuf"
"Ypreville-Biville","Ypreville-Biville"
"Ypreville","Ypreville"
"Yport","Yport"
"Youx","Youx"
"Yonville","Yonville"
"Yonval","Yonval"
"Yonval","Yonval"
"Département de l'Yonne","Departement de l'Yonne"
"Yonne","Yonne"
"Yoncq","Yoncq"
"Yon","Yon"
"Yolet","Yolet"
"Ymorville","Ymorville"
"Ymonville","Ymonville"
"Ymeray","Ymeray"
"Ymare","Ymare"
"Ygrande","Ygrande"
"Ygos-Saint-Saturnin","Ygos-Saint-Saturnin"
"Anse d’Yffiniac","Anse d'Yffiniac"
"Yffiniac","Yffiniac"
"Yèvres-le-Petit","Yevres-le-Petit"
"Yèvres","Yevres"
"Yèvre-le-Châtel","Yevre-le-Chatel"
"Yèvre-la-Ville","Yevre-la-Ville"
"Yèvre","Yevre"
"Yeuse","Yeuse"
"Île d’Yeu","Ile d'Yeu"
"Yerville","Yerville"
"Yerville","Yerville"
"Yerres","Yerres"
"Yerres","Yerres"
"Yèrre","Yerre"
"Yermenonville","Yermenonville"
"Yères","Yeres"
"Yenne","Yenne"
"Yèbles","Yebles"
"Yébleron","Yebleron"
"Ydes","Ydes"
"Ychoux","Ychoux"
"Ychamp","Ychamp"
"Yaucourt-Bussus","Yaucourt-Bussus"
"Yainville","Yainville"
"Yaigne","Yaigne"
"Y","Y"
"Xures","Xures"
"Xousse","Xousse"
"Xouaxange","Xouaxange"
"Xonville","Xonville"
"Xonrupt-Longemer","Xonrupt-Longemer"
"Xocourt","Xocourt"
"Xivry-Circourt","Xivry-Circourt"
"Xivray-et-Marvoisin","Xivray-et-Marvoisin"
"Xirocourt","Xirocourt"
"Xeuilley","Xeuilley"
"Xertigny","Xertigny"
"Xermaménil","Xermamenil"
"Xaronval","Xaronval"
"Xanton-Chassenon","Xanton-Chassenon"
"Xanrey","Xanrey"
"Xamontarupt","Xamontarupt"
"Xammes","Xammes"
"Xambes","Xambes"
"Xaintray","Xaintray"
"Xaintrailles","Xaintrailles"
"Xaintes","Xaintes"
"Xains","Xains"
"Xaffévillers","Xaffevillers"
"Wylder","Wylder"
"Wy-dit-Joli-Village","Wy-dit-Joli-Village"
"Wulverdinghe","Wulverdinghe"
"Wuisse","Wuisse"
"Wuenheim","Wuenheim"
"Woustviller","Woustviller"
"Wormhout","Wormhout"
"Wolxheim","Wolxheim"
"Wolschwiller","Wolschwiller"
"Wolschheim","Wolschheim"
"Wolfskirchen","Wolfskirchen"
"Wolfisheim","Wolfisheim"
"Wolfgantzen","Wolfgantzen"
"Wolfersdorf","Wolfersdorf"
"Woirel","Woirel"
"Woippy","Woippy"
"Woinville","Woinville"
"Woincourt","Woincourt"
"Woimbey","Woimbey"
"Ruisseau le Woigot","Ruisseau le Woigot"
"Woignarue","Woignarue"
"Forêt de Woevre","Foret de Woevre"
"Wœrth","Woerth"
"Wœrth","Woerth"
"Woellenheim","Woellenheim"
"Wœlfling-lès-Sarreguemines","Woelfling-les-Sarreguemines"
"Woël","Woel"
"Wizernes","Wizernes"
"Wiwersheim","Wiwersheim"
"Wittring","Wittring"
"Wittisheim","Wittisheim"
"Wittes","Wittes"
"Wittersheim","Wittersheim"
"Wittersdorf","Wittersdorf"
"Witternheim","Witternheim"
"Witternesse","Witternesse"
"Wittenheim","Wittenheim"
"Wittelsheim","Wittelsheim"
"Witry-lès-Reims","Witry-les-Reims"
"Witainéglise","Witaineglise"
"Wissous","Wissous"
"Wissignicourt","Wissignicourt"
"Arrondissement de Wissembourg","Arrondissement de Wissembourg"
"Wissembourg","Wissembourg"
"Wissant","Wissant"
"Wisques","Wisques"
"Wismes","Wismes"
"Wiseppe","Wiseppe"
"Wisembach","Wisembach"
"Wisches","Wisches"
"Wiry-au-Val","Wiry-au-Val"
"Wiry-au-Mont","Wiry-au-Mont"
"Wirwignes","Wirwignes"
"Wintzfelden","Wintzfelden"
"Wintzenheim-Kochersberg","Wintzenheim-Kochersberg"
"Wintzenheim","Wintzenheim"
"Wintzenbach","Wintzenbach"
"Wintershouse","Wintershouse"
"Wintersbourg","Wintersbourg"
"Winnezeele","Winnezeele"
"Winkel","Winkel"
"Wingles","Wingles"
"Wingersheim","Wingersheim"
"Wingen-sur-Moder","Wingen-sur-Moder"
"Wingen","Wingen"
"Windstein","Windstein"
"Wimy","Wimy"
"Wimmenau","Wimmenau"
"Wimille","Wimille"
"Wimereux","Wimereux"
"Wilwisheim","Wilwisheim"
"Wilshausen","Wilshausen"
"Willies","Willies"
"Williers","Williers"
"Willgottheim","Willgottheim"
"Willerwald","Willerwald"
"Willerval","Willerval"
"Willer-sur-Thur","Willer-sur-Thur"
"Willeroncourt","Willeroncourt"
"Willer","Willer"
"Willencourt","Willencourt"
"Willems","Willems"
"Willeman","Willeman"
"Willametz","Willametz"
"Wildersbach","Wildersbach"
"Wildenstein","Wildenstein"
"Wildenguth","Wildenguth"
"Wihr-en-Plaine","Wihr-en-Plaine"
"Wihr-au-Val","Wihr-au-Val"
"Wignicourt","Wignicourt"
"Wignehies","Wignehies"
"Wiesviller","Wiesviller"
"Wierre-Effroy","Wierre-Effroy"
"Wierre-au-Bois","Wierre-au-Bois"
"Wiencourt-l’Équipée","Wiencourt-l'Equipee"
"Wiège-Faty","Wiege-Faty"
"Widensolen","Widensolen"
"Widehem","Widehem"
"Wicres","Wicres"
"Wicquinghem","Wicquinghem"
"Wickersheim-Wilshausen","Wickersheim-Wilshausen"
"Wickerschwihr","Wickerschwihr"
"Wibolsheim","Wibolsheim"
"Wez","Wez"
"Weyersheim","Weyersheim"
"Weyer","Weyer"
"Col du Wettstein","Col du Wettstein"
"Wettolsheim","Wettolsheim"
"Westrehem","Westrehem"
"Westhouse-Marmoutier","Westhouse-Marmoutier"
"Westhouse","Westhouse"
"Westhoffen","Westhoffen"
"Westhalten","Westhalten"
"West-Cappel","West-Cappel"
"Westbécourt","Westbecourt"
"Wervicq-Sud","Wervicq-Sud"
"Werentzhouse","Werentzhouse"
"Wentzwiller","Wentzwiller"
"Wemaers-Cappel","Wemaers-Cappel"
"Welles-Pérennes","Welles-Perennes"
"Welferding","Welferding"
"Weiterswiller","Weiterswiller"
"Weitbruch","Weitbruch"
"Weiss","Weiss"
"Weislingen","Weislingen"
"Weinbourg","Weinbourg"
"Wegscheid","Wegscheid"
"Weckolsheim","Weckolsheim"
"Waziers","Waziers"
"Wavrin","Wavrin"
"Wavrille","Wavrille"
"Wavrechain-sous-Faulx","Wavrechain-sous-Faulx"
"Wavrechain-sous-Denain","Wavrechain-sous-Denain"
"Wavrans-sur-Ternoise","Wavrans-sur-Ternoise"
"Wavrans-sur-l’Aa","Wavrans-sur-l'Aa"
"Waville","Waville"
"Wavignies","Wavignies"
"Wavans","Wavans"
"Wattwiller","Wattwiller"
"Wattrelos","Wattrelos"
"Wattignies-la-Victoire","Wattignies-la-Victoire"
"Wattignies","Wattignies"
"Wattiessart","Wattiessart"
"Watterdal","Watterdal"
"Watten","Watten"
"Wattebléry","Watteblery"
"Watronville","Watronville"
"Bois de Watron","Bois de Watron"
"Watigny","Watigny"
"Wathiéhurt","Wathiehurt"
"Exutoire des Wateringues","Exutoire des Wateringues"
"Wateringues","Wateringues"
"Wassy","Wassy"
"Wassigny","Wassigny"
"Wasserbourg","Wasserbourg"
"Wasselonne","Wasselonne"
"Wasquehal","Wasquehal"
"Wasnes-au-Bac","Wasnes-au-Bac"
"Wasigny","Wasigny"
"Warvillers","Warvillers"
"Warsy","Warsy"
"Bois de Warphemont","Bois de Warphemont"
"Warnecque","Warnecque"
"Warnécourt","Warnecourt"
"Warne","Warne"
"Warmeriville","Warmeriville"
"Warluzel","Warluzel"
"Warlus","Warlus"
"Warlus","Warlus"
"Warluis","Warluis"
"Warloy-Baillon","Warloy-Baillon"
"Warlincourt-lès-Pas","Warlincourt-les-Pas"
"Warlez","Warlez"
"Warlencourt-Eaucourt","Warlencourt-Eaucourt"
"Warlaing","Warlaing"
"Warincthun","Warincthun"
"Warhem","Warhem"
"Wargnies-le-Petit","Wargnies-le-Petit"
"Wargnies-le-Grand","Wargnies-le-Grand"
"Wargnies","Wargnies"
"Wargemoulin-Hurlus","Wargemoulin-Hurlus"
"Warfusée-Abancourt","Warfusee-Abancourt"
"Warendin","Warendin"
"Wardrecques","Wardrecques"
"Warcq","Warcq"
"Warcq","Warcq"
"Wanquetin","Wanquetin"
"Wannehain","Wannehain"
"Wangenbourg-Engenthal","Wangenbourg-Engenthal"
"Wangen","Wangen"
"Wanel","Wanel"
"Wandonne","Wandonne"
"Wandignies-Hamage","Wandignies-Hamage"
"Wancourt","Wancourt"
"Wanchy-Capval","Wanchy-Capval"
"Wanchielle","Wanchielle"
"Wamin","Wamin"
"Wamin","Wamin"
"Wambrechies","Wambrechies"
"Wambez","Wambez"
"Wambercourt","Wambercourt"
"Wambaix","Wambaix"
"Waly","Waly"
"Waltenheim-sur-Zorn","Waltenheim-sur-Zorn"
"Waltenheim","Waltenheim"
"Waltembourg","Waltembourg"
"Walscheid","Walscheid"
"Walschbronn","Walschbronn"
"Wallon-Cappel","Wallon-Cappel"
"Wallers-en-Fagne","Wallers-en-Fagne"
"Wallers","Wallers"
"Walincourt-Selvigny","Walincourt-Selvigny"
"Walheim","Walheim"
"Waldwisse","Waldwisse"
"Waldweistroff","Waldweistroff"
"Waldolwisheim","Waldolwisheim"
"Waldighofen","Waldighofen"
"Waldhouse","Waldhouse"
"Waldhambach","Waldhambach"
"Waldersbach","Waldersbach"
"Phare de Walde","Phare de Walde"
"Waldam","Waldam"
"Walbourg","Walbourg"
"Walbach","Walbach"
"Wailly-Beaucamp","Wailly-Beaucamp"
"Bois de Wailly","Bois de Wailly"
"Wailly","Wailly"
"Wailly","Wailly"
"Wailly","Wailly"
"Wail","Wail"
"Wahlenheim","Wahlenheim"
"Wahlbach","Wahlbach"
"Wahagnies","Wahagnies"
"Wagnonlieu","Wagnonlieu"
"Wagnon","Wagnon"
"Wagenbach","Wagenbach"
"Wadonville-en-Woëvre","Wadonville-en-Woevre"
"Wadimont","Wadimont"
"Wadícourt","Wadicourt"
"Wadenthun","Wadenthun"
"Wadelincourt","Wadelincourt"
"Wacquinghen","Wacquinghen"
"Ferme des Wacques","Ferme des Wacques"
"Wacquemoulin","Wacquemoulin"
"Wackenbach","Wackenbach"
"Waben","Waben"
"Vyt-lès-Belvoir","Vyt-les-Belvoir"
"Vy-lès-Rupt","Vy-les-Rupt"
"Vy-lès-Lure","Vy-les-Lure"
"Vy-lès-Filain","Vy-les-Filain"
"Vy-le-Ferroux","Vy-le-Ferroux"
"Vyans-le-Val","Vyans-le-Val"
"Pointe de la Vuzelle","Pointe de la Vuzelle"
"Vurey","Vurey"
"Vulvoz","Vulvoz"
"Vulmont","Vulmont"
"Vulmis","Vulmis"
"Vulbens","Vulbens"
"Vulaines-sur-Seine","Vulaines-sur-Seine"
"Vulaines-lès-Provins","Vulaines-les-Provins"
"Vulaines","Vulaines"
"Vuillery","Vuillery"
"Vuillecin","Vuillecin"
"Vuillafans","Vuillafans"
"Vuidepot","Vuidepot"
"Vue","Vue"
"Vublon","Vublon"
"Montagne de Vuache","Montagne de Vuache"
"Vry","Vry"
"Vroville","Vroville"
"Vroncourt-la-Côte","Vroncourt-la-Cote"
"Vroncourt","Vroncourt"
"Bois de Vron","Bois de Vron"
"Vron","Vron"
"Vrolle","Vrolle"
"Vroil","Vroil"
"Vrocourt","Vrocourt"
"Vrizy","Vrizy"
"Vritz","Vritz"
"Vrines","Vrines"
"Vrillon","Vrillon"
"Vrille","Vrille"
"Vrigny","Vrigny"
"Vrigny","Vrigny"
"Vrigny","Vrigny"
"Vrigne-Meuse","Vrigne-Meuse"
"Vrigne-aux-Bois","Vrigne-aux-Bois"
"Vriange","Vriange"
"Vrémy","Vremy"
"Vrély","Vrely"
"Vreigne","Vreigne"
"Vregny","Vregny"
"Vregille","Vregille"
"Vred","Vred"
"Vrécourt","Vrecourt"
"Vraux","Vraux"
"Vrasville","Vrasville"
"Vraiville","Vraiville"
"Vraine","Vraine"
"Vraincourt","Vraincourt"
"Vraincourt","Vraincourt"
"Vraignes-lès-Hornoy","Vraignes-les-Hornoy"
"Vraignes-en-Vermandois","Vraignes-en-Vermandois"
"Vozelles","Vozelles"
"Col de Voza","Col de Voza"
"Voyer","Voyer"
"Voyennes","Voyennes"
"Voyenne","Voyenne"
"Voye","Voye"
"Vovray-en-Bornes","Vovray-en-Bornes"
"Vovette","Vovette"
"Voves","Voves"
"Vovelles","Vovelles"
"Voveix","Voveix"
"Vove","Vove"
"Vouzy","Vouzy"
"Vouzon","Vouzon"
"Embranchement de Vouziers","Embranchement de Vouziers"
"Arrondissement de Vouziers","Arrondissement de Vouziers"
"Vouziers","Vouziers"
"Vouzeron","Vouzeron"
"Ruisseau la Vouzance","Ruisseau la Vouzance"
"Vouzan","Vouzan"
"Vouzailles","Vouzailles"
"Vouxey","Vouxey"
"Vouvray-sur-Loir","Vouvray-sur-Loir"
"Vouvray-sur-Huisne","Vouvray-sur-Huisne"
"Vouvray","Vouvray"
"Vouvray","Vouvray"
"Vouvray","Vouvray"
"Forêt de Vouvant","Foret de Vouvant"
"Vouvant","Vouvant"
"Voutré","Voutre"
"Vouthon-Haut","Vouthon-Haut"
"Vouthon-Bas","Vouthon-Bas"
"Vouthon","Vouthon"
"Voutezac","Voutezac"
"Voutenay-sur-Cure","Voutenay-sur-Cure"
"Voussac","Voussac"
"Vourzac","Vourzac"
"Vourvenans","Vourvenans"
"Vourles","Vourles"
"Vourey","Vourey"
"Vouneuil-sur-Vienne","Vouneuil-sur-Vienne"
"Vouneuil-sous-Biard","Vouneuil-sous-Biard"
"Source de la Voulzie","Source de la Voulzie"
"Voulzie","Voulzie"
"Voulx","Voulx"
"Voulton","Voulton"
"Voultegon","Voultegon"
"Voulpaix","Voulpaix"
"Voulon","Voulon"
"Voulgézac","Voulgezac"
"Vouleux","Vouleux"
"Voulême","Vouleme"
"Voulangis","Voulangis"
"Voulaines-les-Templiers","Voulaines-les-Templiers"
"Voujeaucourt","Voujeaucourt"
"Vouilly","Vouilly"
"Vouillon","Vouillon"
"Vouillers","Vouillers"
"Vouillé-les-Marais","Vouille-les-Marais"
"Forêt de Vouillé","Foret de Vouille"
"Vouillé","Vouille"
"Vouillé","Vouille"
"Vouhet","Vouhet"
"Vouhenans","Vouhenans"
"Vouhé","Vouhe"
"Vouhé","Vouhe"
"Vouharte","Vouharte"
"Vougy","Vougy"
"Vougy","Vougy"
"Vougrey","Vougrey"
"Vougon","Vougon"
"Barrage de Vouglans","Barrage de Vouglans"
"Vouglans","Vouglans"
"Vougerie Haute","Vougerie Haute"
"Vougerie Basse","Vougerie Basse"
"Vougerie","Vougerie"
"Vougeot","Vougeot"
"Vougécourt","Vougecourt"
"Vouge","Vouge"
"Voueyse","Voueyse"
"Vouël","Vouel"
"Voueize","Voueize"
"Vouécourt","Vouecourt"
"Voué","Voue"
"Voudenay","Voudenay"
"Vouciennes","Vouciennes"
"Vouarces","Vouarces"
"Mont de Vouan","Mont de Vouan"
"Bois de Vouaillon","Bois de Vouaillon"
"Vou","Vou"
"Vosves","Vosves"
"Vosnon","Vosnon"
"Vosne-Romanée","Vosne-Romanee"
"Parc Naturel Régional des Vosges du Nord","Parc Naturel Regional des Vosges du Nord"
"Département des Vosges","Departement des Vosges"
"Vosges","Vosges"
"Vosbles","Vosbles"
"Vorvigny","Vorvigny"
"Vorton","Vorton"
"Vors","Vors"
"Vornay","Vornay"
"Vornaud","Vornaud"
"Vorly","Vorly"
"Mas de Vorgière","Mas de Vorgiere"
"Vorges-les-Pins","Vorges-les-Pins"
"Vorges","Vorges"
"Vorey","Vorey"
"Mont de Vorès","Mont de Vores"
"Voreppe","Voreppe"
"Bois de Voré","Bois de Vore"
"Capo alla Vorba","Capo alla Vorba"
"Voray-sur-l'Ognon","Voray-sur-l'Ognon"
"Vonne","Vonne"
"Vonnas","Vonnas"
"Vongnes","Vongnes"
"Vonges","Vonges"
"Bois de Voncq","Bois de Voncq"
"Voncq","Voncq"
"Voncourt","Voncourt"
"Vomécourt-sur-Madon","Vomecourt-sur-Madon"
"Vomécourt","Vomecourt"
"Volx","Volx"
"Ruisseau le Volvon","Ruisseau le Volvon"
"Volvic","Volvic"
"Col de Volvent","Col de Volvent"
"Volvent","Volvent"
"Volvent","Volvent"
"Voluy","Voluy"
"Volstroff","Volstroff"
"Volpajola","Volpajola"
"Volp","Volp"
"Volonne","Volonne"
"Volondat","Volondat"
"Volon","Volon"
"Colline de Vologne","Colline de Vologne"
"Vologne","Vologne"
"Nurieux-Volognat","Nurieux-Volognat"
"Volnay","Volnay"
"Volnay","Volnay"
"Volnay","Volnay"
"Volmunster","Volmunster"
"Volmerange-les-Mines","Volmerange-les-Mines"
"Volmerange-lès-Boulay","Volmerange-les-Boulay"
"Vollore-Ville","Vollore-Ville"
"Vollore-Montagne","Vollore-Montagne"
"Vollien","Vollien"
"Volksberg","Volksberg"
"Volkrange","Volkrange"
"Volhac","Volhac"
"Volgré","Volgre"
"Volevrac","Volevrac"
"Volesvres","Volesvres"
"Volckerinckhove","Volckerinckhove"
"Volane","Volane"
"Voivres-lès-le-Mans","Voivres-les-le-Mans"
"Voiteur","Voiteur"
"Voissay","Voissay"
"Voissant","Voissant"
"Voisins-le-Bretonneux","Voisins-le-Bretonneux"
"Forêt de Voisines","Foret de Voisines"
"Voisines","Voisines"
"Voisines","Voisines"
"Voisinal","Voisinal"
"Voisin","Voisin"
"Voisin","Voisin"
"Bois du Voisey","Bois du Voisey"
"Voisey","Voisey"
"Voisenon","Voisenon"
"Voise","Voise"
"Voise","Voise"
"Voiscreville","Voiscreville"
"Voiron","Voiron"
"Voirincourt","Voirincourt"
"Voirie","Voirie"
"Voires","Voires"
"Voire","Voire"
"Ruisseau de Voirat","Ruisseau de Voirat"
"Voirat","Voirat"
"Voirac","Voirac"
"Voipreux","Voipreux"
"Voinsles","Voinsles"
"Voingt","Voingt"
"Voinémont","Voinemont"
"Voimhaut","Voimhaut"
"Voillecomte","Voillecomte"
"Voillans","Voillans"
"Voilemont","Voilemont"
"Voigny","Voigny"
"Voigny","Voigny"
"Bois de la Voie aux Loups","Bois de la Voie aux Loups"
"Bois de Void","Bois de Void"
"Void-Vacon","Void-Vacon"
"Voharies","Voharies"
"Vogüé","Voguee"
"Voglans","Voglans"
"Volgelsheim","Volgelsheim"
"Vogelgrun","Vogelgrun"
"Cime de Voga","Cime de Voga"
"Vœuil-et-Giget","Voeuil-et-Giget"
"Voeu","Voeu"
"Vœllerdingen","Voellerdingen"
"Vœlfling-lès-Bouzonville","Voelfling-les-Bouzonville"
"Vœgtlinshoffen","Voegtlinshoffen"
"Vodable","Vodable"
"Vocance","Vocance"
"Forêt de Vizzavone","Foret de Vizzavone"
"Col de Vizzavone","Col de Vizzavone"
"Vizzavone","Vizzavone"
"Vizos","Vizos"
"Vizille","Vizille"
"Vizézy","Vizezy"
"Vizezy","Vizezy"
"Vixiège","Vixiege"
"Vix","Vix"
"Vix","Vix"
"Vivy","Vivy"
"Vivonne","Vivonne"
"Vivoin","Vivoin"
"Viville","Viville"
"Viviez","Viviez"
"Vivies","Vivies"
"Viviès","Vivies"
"Viviers-sur-Chiers","Viviers-sur-Chiers"
"Viviers-sur-Artaut","Viviers-sur-Artaut"
"Viviers-lès-Offroicourt","Viviers-les-Offroicourt"
"Viviers-lès-Montagnes","Viviers-les-Montagnes"
"Viviers-lès-Lavaur","Viviers-les-Lavaur"
"Bois de Viviers-le-Gras","Bois de Viviers-le-Gras"
"Viviers-le-Gras","Viviers-le-Gras"
"Viviers","Viviers"
"Viviers","Viviers"
"Viviers","Viviers"
"Viviers","Viviers"
"Viviers","Viviers"
"Vivières","Vivieres"
"Vivière","Viviere"
"Vivier-au-Court","Vivier-au-Court"
"Vivier","Vivier"
"Vivey","Vivey"
"Chateau les Vives Eaux","Chateau les Vives Eaux"
"Vivers","Vivers"
"Viverols","Viverols"
"Vive Parance","Vive Parance"
"Viven","Viven"
"Vivario","Vivario"
"Monts du Vivarais","Monts du Vivarais"
"Puy Vivanson","Puy Vivanson"
"Vivans","Vivans"
"Vivaise","Vivaise"
"Viuz-la-Chiésaz","Viuz-la-Chiesaz"
"Viuz-en-Sallaz","Viuz-en-Sallaz"
"Viuz","Viuz"
"Vitz-sur-Authie","Vitz-sur-Authie"
"Capo dello Vitullo","Capo dello Vitullo"
"Vittonville","Vittonville"
"Vittoncourt","Vittoncourt"
"Forêt de Vittoli","Foret de Vittoli"
"Vittersbourg","Vittersbourg"
"Vittel","Vittel"
"Vittefleur","Vittefleur"
"Vitteaux","Vitteaux"
"Vittarville","Vittarville"
"Vitry-sur-Seine","Vitry-sur-Seine"
"Vitry-sur-Orne","Vitry-sur-Orne"
"Vitry-sur-Loire","Vitry-sur-Loire"
"Vitry-lès-Nogent","Vitry-les-Nogent"
"Vitry-lès-Cluny","Vitry-les-Cluny"
"Canal de Vitry-le-François à Saint-Dizier","Canal de Vitry-le-Francois a Saint-Dizier"
"Arrondissement de Vitry-le-François","Arrondissement de Vitry-le-Francois"
"Vitry-le-François","Vitry-le-Francois"
"Vitry-le-Croisé","Vitry-le-Croise"
"Vitry-la-Ville","Vitry-la-Ville"
"Vitry-Laché","Vitry-Lache"
"Vitry-en-Perthois","Vitry-en-Perthois"
"Vitry-en-Montagne","Vitry-en-Montagne"
"Vitry-en-Charollais","Vitry-en-Charollais"
"Vitry-en-Artois","Vitry-en-Artois"
"Vitry-aux-Loges","Vitry-aux-Loges"
"Bois de Vitry","Bois de Vitry"
"Bois de Vitry","Bois de Vitry"
"Plateau de Vitrolles","Plateau de Vitrolles"
"Vitrolles","Vitrolles"
"Vitrolles-en-Lubéron","Vitrolles-en-Luberon"
"Vitrolles","Vitrolles"
"Forêt de Vitrimont","Foret de Vitrimont"
"Vitrimont","Vitrimont"
"Vitriccia","Vitriccia"
"Vitrezay","Vitrezay"
"Vitrey","Vitrey"
"Vitrey-sur-Mance","Vitrey-sur-Mance"
"Vitreville","Vitreville"
"Vitreux","Vitreux"
"Vitré","Vitre"
"Vitré","Vitre"
"Vitray-sous-Brézolles","Vitray-sous-Brezolles"
"Vitray-en-Beauce","Vitray-en-Beauce"
"Vitray","Vitray"
"Vitray","Vitray"
"Vitrai-sous-Laigle","Vitrai-sous-Laigle"
"Vitrac-sur-Montane","Vitrac-sur-Montane"
"Vitrac-Saint-Vincent","Vitrac-Saint-Vincent"
"Vitracq","Vitracq"
"Vitrac-en-Viadène","Vitrac-en-Viadene"
"Russeau de Vitrac","Russeau de Vitrac"
"Vitrac","Vitrac"
"Vitrac","Vitrac"
"Vitrac","Vitrac"
"Viterne","Viterne"
"Viterbe","Viterbe"
"Lac de Vitelaca","Lac de Vitelaca"
"Visy","Visy"
"Visy","Visy"
"Vistre","Vistre"
"Vistale","Vistale"
"Visseiche","Visseiche"
"Vissec","Vissec"
"Vissac-Auteyrac","Vissac-Auteyrac"
"Punta Gastaldi","Punta Gastaldi"
"Visoncourt","Visoncourt"
"Vismes","Vismes"
"Visker","Visker"
"Viserny","Viserny"
"Vis-en-Artois","Vis-en-Artois"
"Viscos","Viscos"
